on,is
ei,No
ja,and
se,it
hän,he
mitä,what
en,I do not
että,that
ole,be
olen,I am
niin,so
minä,I
mutta,but
vain,only
sen,its
oli,was
sinä,you
nyt,now
tämä,this
jos,if
olet,are
voi,butter
kun,when
sitä,the
kuin,than
he,they
täällä,here
kaikki,all
minun,my
hyvä,good
hänen,his
ovat,are
et,you do not
minua,me
olla,be
kyllä,Yes
älä,area
sinun,your
hei,Hey
sinua,you
sitten,then
onko,whether
mitään,anything
miksi,why
mikä,What
kiitos,thank you
hänet,him
siitä,thence
ne,they
miten,how
joka,which
minulle,to me
olisi,would be
tässä,here
kanssa,with
me,we
minulla,I
tai,or
missä,where
tuo,that
jotain,something
pitää,keep
ollut,been
sinulle,you
tiedä,do not know
oletko,are you
minut,me
kuka,Who
häntä,him
sinut,thee
tule,Come
hyvin,very
vielä,yet
tämän,this
tänne,here
meidän,our
olemme,are
anteeksi,Sorry
jo,already
anna,let the
tehdä,make
haluan,I want to
täytyy,must
koska,because
pois,off
herra,Mr.
tiedän,I know
ehkä,perhaps
siellä,there
takaisin,back
paljon,a lot
kuinka,how
sinulla,you
tätä,this
emme,we do not
tulee,will
selvä,clear
te,you
siinä,there
saa,weather
eikö,right
juuri,just
no,Well
eivät,do not
koskaan,ever
yksi,one
aina,always
mennä,go
ennen,before
enää,any more
vai,or
pitäisi,should
mene,go to
koko,size
kaksi,two
mistä,where from
näin,thus
aivan,right
meillä,at our house
oikein,properly
joten,so
mies,man
halua,do not want
joku,someone
tästä,from here
hänelle,him
todella,really
olin,I had
vähän,little
hyvää,good
olette,are
aika,time
katso,Look
isä,father
tietää,know
teet,Book
totta,true
kunnossa,okay
ulos,out
kuten,like
kai,probably
edes,at least
voin,I can
siihen,thereto
voit,you can
entä,what about
äiti,Mum
kukaan,anyone
ihan,quite
pidä,do not like
kiinni,Closed
vaan,but
haluat,To
tulla,become
aikaa,time
noin,about
pahoillani,sorry
myös,also
siis,therefore
teidän,yours
minusta,About me
mennään,let's go
päästä,to be released
itse,self
tänään,today
sillä,for
odota,Wait
kaiken,all
sanoi,said
eikä,and not
ota,please
heidän,their
etkö,do not you
tee,tea
kerro,tell
liian,too
niitä,them
sinusta,you
taas,again
nämä,these
näyttää,show
hänellä,she
meitä,us
mukaan,by
haluatko,you want to
ettei,lest
kotiin,home
täältä,from here
jälkeen,after
jotka,that
puhua,talk
menee,going
vuotta,years
sinne,there
nähdä,see
kolme,three
vaikka,although
auttaa,help
tuolla,there
luoja,Creator
antaa,give
tiedät,you know
poika,son
muuta,more
tiedätkö,do you know
heti,immediately
ette,you do not
teitä,you
sanoa,say
meidät,us
tähän,over here
saat,get
tapahtui,took place
tuli,fire
sisään,in
ilman,free
nähnyt,seen
saada,get
sanoin,I said
heidät,them
tarvitse,need
teille,you
rakastan,I love the
joo,Yeah
varmasti,certainly
usko,belief
tuon,that
teen,Coffee
ikinä,ever
kulta,gold
tekee,makes
kertoa,tell
haluaa,wants
olevan,the
heitä,them
pian,soon
hienoa,great
meille,us
vastaan,against
jonka,whom
sano,say,
enemmän,more
kuollut,dead
tehnyt,done
hänestä,about him
varma,sure
minne,where
varmaan,will
okei,okay
sir,sir
tuota,produce
asia,thing
tulen,fire
mihin,where
kerran,once
tyttö,girl
tapahtuu,happens
lopeta,stop it
ottaa,take
alas,down
ylös,up
käy,visit
luulin,I thought
sain,I got
pidän,I like
rouva,Mrs
teidät,you
hauskaa,fun
rahaa,money
voimme,we can
olit,you were
tarvitsen,I need
n,of
voisi,could
ihmiset,people
tappaa,kill
luulen,I think
takia,because of
älkää,start
ajan,I drive
kauan,long
tällä,bridge
teillä,at your place
yhtä,equally
lähteä,go
paska,shit
toinen,second
olivat,were
yhdessä,together
oikeassa,right
www,www
huomenna,tomorrow
nainen,woman
päivä,day
juttu,thing
myöhemmin,later
valmis,ready
joskus,sometimes
menen,I go
kuuntele,listen
hieman,slightly
päivää,days
silloin,then
nähdään,See you
niinkö,Really
